Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:01:56.088,114222.0,0.02,BTCUSDT
2025-09-30 00:01:56.887,114222.0,0.001,BTCUSDT
2025-09-30 00:01:57.087,114222.0,0.039,BTCUSDT
2025-09-30 00:01:57.128,114221.9,0.021,BTCUSDT
2025-09-30 00:01:57.166,114222.0,0.001,BTCUSDT
2025-09-30 00:01:57.295,114222.0,0.001,BTCUSDT
2025-09-30 00:01:57.385,114221.9,0.001,BTCUSDT
2025-09-30 00:01:57.496,114222.0,0.98,BTCUSDT
2025-09-30 00:01:57.702,114221.9,0.007,BTCUSDT
2025-09-30 00:01:57.714,114222.0,0.001,BTCUSDT
2025-09-30 00:01:57.936,114222.0,0.024,BTCUSDT
2025-09-30 00:01:57.976,114222.0,0.001,BTCUSDT
2025-09-30 00:01:58.031,114222.0,0.001,BTCUSDT
2025-09-30 00:01:58.199,114222.0,0.01,BTCUSDT
2025-09-30 00:01:58.223,114221.9,0.001,BTCUSDT
2025-09-30 00:01:58.274,114222.0,0.083,BTCUSDT
2025-09-30 00:01:58.274,114222.0,0.01,BTCUSDT
2025-09-30 00:01:58.274,114222.0,0.002,BTCUSDT
2025-09-30 00:01:58.813,114222.0,0.001,BTCUSDT
2025-09-30 00:01:59.076,114222.0,0.001,BTCUSDT
2025-09-30 00:01:59.388,114221.9,0.01,BTCUSDT
2025-09-30 00:01:59.388,114221.9,0.016,BTCUSDT
2025-09-30 00:01:59.828,114221.9,0.001,BTCUSDT
2025-09-30 00:02:00.148,114222.0,0.001,BTCUSDT
2025-09-30 00:02:00.284,114222.0,0.01,BTCUSDT
2025-09-30 00:02:00.284,114222.0,0.027,BTCUSDT
2025-09-30 00:02:00.284,114222.0,0.001,BTCUSDT
2025-09-30 00:02:00.284,114222.0,0.001,BTCUSDT
2025-09-30 00:02:00.284,114222.0,0.039,BTCUSDT
2025-09-30 00:02:00.609,114221.9,0.047,BTCUSDT
2025-09-30 00:02:00.609,114221.9,0.04,BTCUSDT
2025-09-30 00:02:00.774,114221.9,0.046,BTCUSDT
2025-09-30 00:02:00.970,114222.0,0.008,BTCUSDT
2025-09-30 00:02:01.047,114221.9,0.046,BTCUSDT
2025-09-30 00:02:01.277,114222.0,0.021,BTCUSDT
2025-09-30 00:02:01.703,114221.9,0.001,BTCUSDT
2025-09-30 00:02:01.960,114221.9,0.048,BTCUSDT
2025-09-30 00:02:02.033,114222.0,0.001,BTCUSDT
2025-09-30 00:02:02.080,114221.9,0.001,BTCUSDT
2025-09-30 00:02:02.159,114221.9,0.318,BTCUSDT
2025-09-30 00:02:02.159,114221.9,0.092,BTCUSDT
2025-09-30 00:02:02.208,114221.9,0.001,BTCUSDT
2025-09-30 00:02:02.681,114222.0,0.068,BTCUSDT
2025-09-30 00:02:02.703,114222.0,0.001,BTCUSDT
2025-09-30 00:02:02.760,114221.9,0.009,BTCUSDT
2025-09-30 00:02:02.766,114221.9,0.008,BTCUSDT
2025-09-30 00:02:02.766,114221.9,0.039,BTCUSDT
2025-09-30 00:02:02.766,114221.9,0.001,BTCUSDT
2025-09-30 00:02:02.766,114221.9,0.066,BTCUSDT
2025-09-30 00:02:02.768,114221.9,0.004,BTCUSDT
2025-09-30 00:02:02.805,114221.9,0.014,BTCUSDT
2025-09-30 00:02:02.912,114221.9,0.153,BTCUSDT
2025-09-30 00:02:03.014,114222.0,0.012,BTCUSDT
2025-09-30 00:02:03.021,114221.9,0.158,BTCUSDT
2025-09-30 00:02:03.185,114222.0,0.005,BTCUSDT
2025-09-30 00:02:03.193,114222.0,0.008,BTCUSDT
2025-09-30 00:02:03.208,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.208,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.208,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.208,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.208,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.208,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.208,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.144,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.002,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.003,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.008,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.015,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.019,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.073,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.027,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.002,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.087,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.087,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.399,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.015,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.01,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.002,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.002,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.002,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.003,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.002,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.003,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.003,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.1,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.002,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.082,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.01,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.002,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.145,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.003,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.165,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.438,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.008,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.008,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.002,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.003,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.041,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.009,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.599,BTCUSDT
2025-09-30 00:02:03.373,114221.9,2.402,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.002,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.122,BTCUSDT
2025-09-30 00:02:03.373,114221.9,0.006,BTCUSDT
2025-09-30 00:02:03.373,114221.8,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.8,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.8,0.004,BTCUSDT
2025-09-30 00:02:03.373,114221.8,0.015,BTCUSDT
2025-09-30 00:02:03.373,114221.8,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.8,0.002,BTCUSDT
2025-09-30 00:02:03.373,114221.8,0.053,BTCUSDT
2025-09-30 00:02:03.373,114221.8,0.349,BTCUSDT
2025-09-30 00:02:03.373,114221.8,0.417,BTCUSDT
2025-09-30 00:02:03.373,114221.8,0.002,BTCUSDT
2025-09-30 00:02:03.373,114221.8,0.001,BTCUSDT
2025-09-30 00:02:03.373,114221.8,0.002,BTCUSDT
2025-09-30 00:02:03.373,114221.7,0.002,BTCUSDT
2025-09-30 00:02:03.376,114221.6,0.001,BTCUSDT
2025-09-30 00:02:03.376,114221.6,0.001,BTCUSDT
2025-09-30 00:02:03.376,114221.2,0.002,BTCUSDT
2025-09-30 00:02:03.376,114220.8,0.001,BTCUSDT
2025-09-30 00:02:03.376,114220.4,0.002,BTCUSDT
2025-09-30 00:02:03.376,114220.1,0.002,BTCUSDT
2025-09-30 00:02:03.376,114220.0,0.001,BTCUSDT
2025-09-30 00:02:03.376,114219.8,0.003,BTCUSDT
2025-09-30 00:02:03.376,114219.8,0.002,BTCUSDT
2025-09-30 00:02:03.376,114219.2,0.002,BTCUSDT
2025-09-30 00:02:03.376,114219.1,0.002,BTCUSDT
2025-09-30 00:02:03.376,114218.9,0.002,BTCUSDT
2025-09-30 00:02:03.376,114218.6,0.001,BTCUSDT
2025-09-30 00:02:03.376,114218.4,0.002,BTCUSDT
2025-09-30 00:02:03.378,114218.0,0.002,BTCUSDT
2025-09-30 00:02:03.378,114218.0,0.001,BTCUSDT
2025-09-30 00:02:03.378,114218.0,0.001,BTCUSDT
2025-09-30 00:02:03.378,114217.5,0.001,BTCUSDT
2025-09-30 00:02:03.378,114217.4,0.002,BTCUSDT
2025-09-30 00:02:03.378,114217.3,0.001,BTCUSDT
2025-09-30 00:02:03.379,114217.1,0.002,BTCUSDT
2025-09-30 00:02:03.379,114217.1,0.033,BTCUSDT
2025-09-30 00:02:03.393,114217.1,0.001,BTCUSDT
2025-09-30 00:02:03.393,114217.1,0.001,BTCUSDT
2025-09-30 00:02:03.393,114217.1,0.001,BTCUSDT
2025-09-30 00:02:03.393,114217.1,0.001,BTCUSDT
2025-09-30 00:02:03.393,114217.1,0.001,BTCUSDT
2025-09-30 00:02:03.393,114217.1,0.001,BTCUSDT
2025-09-30 00:02:03.393,114217.1,0.002,BTCUSDT
2025-09-30 00:02:03.393,114217.1,0.001,BTCUSDT
2025-09-30 00:02:03.393,114217.1,0.001,BTCUSDT
2025-09-30 00:02:03.393,114217.1,0.054,BTCUSDT
2025-09-30 00:02:03.393,114217.1,0.001,BTCUSDT
2025-09-30 00:02:03.393,114216.8,0.002,BTCUSDT
2025-09-30 00:02:03.393,114216.6,0.002,BTCUSDT
2025-09-30 00:02:03.393,114216.6,0.002,BTCUSDT
2025-09-30 00:02:03.393,114216.3,0.001,BTCUSDT
2025-09-30 00:02:03.393,114216.2,0.009,BTCUSDT
2025-09-30 00:02:03.393,114216.1,0.001,BTCUSDT
2025-09-30 00:02:03.393,114216.0,0.002,BTCUSDT
2025-09-30 00:02:03.393,114215.5,0.002,BTCUSDT
2025-09-30 00:02:03.393,114215.4,0.001,BTCUSDT
2025-09-30 00:02:03.424,114215.2,0.002,BTCUSDT
2025-09-30 00:02:03.424,114215.2,0.001,BTCUSDT
2025-09-30 00:02:03.424,114215.2,0.017,BTCUSDT
2025-09-30 00:02:03.424,114215.2,0.004,BTCUSDT
2025-09-30 00:02:03.424,114215.2,0.001,BTCUSDT
2025-09-30 00:02:03.424,114215.2,0.001,BTCUSDT
2025-09-30 00:02:03.424,114214.6,0.002,BTCUSDT
2025-09-30 00:02:03.424,114214.3,0.002,BTCUSDT
2025-09-30 00:02:03.424,114214.3,0.002,BTCUSDT
2025-09-30 00:02:03.424,114214.2,0.001,BTCUSDT
2025-09-30 00:02:03.424,114214.1,0.01,BTCUSDT
2025-09-30 00:02:03.424,114213.9,0.002,BTCUSDT
2025-09-30 00:02:03.424,114213.0,0.001,BTCUSDT
2025-09-30 00:02:03.424,114213.0,0.001,BTCUSDT
2025-09-30 00:02:03.424,114212.8,0.002,BTCUSDT
2025-09-30 00:02:03.424,114212.2,0.002,BTCUSDT
2025-09-30 00:02:03.424,114212.1,0.002,BTCUSDT
2025-09-30 00:02:03.424,114211.9,0.005,BTCUSDT
2025-09-30 00:02:03.424,114211.8,0.001,BTCUSDT
2025-09-30 00:02:03.424,114211.4,0.002,BTCUSDT
2025-09-30 00:02:03.424,114211.0,0.001,BTCUSDT
2025-09-30 00:02:03.433,114210.8,0.002,BTCUSDT
2025-09-30 00:02:03.433,114210.8,0.006,BTCUSDT
2025-09-30 00:02:03.433,114210.8,0.004,BTCUSDT
2025-09-30 00:02:03.436,114210.8,0.008,BTCUSDT
2025-09-30 00:02:03.457,114210.8,0.001,BTCUSDT
2025-09-30 00:02:03.457,114210.8,0.006,BTCUSDT
2025-09-30 00:02:03.457,114210.8,0.001,BTCUSDT
2025-09-30 00:02:03.471,114210.8,0.001,BTCUSDT
2025-09-30 00:02:03.471,114210.8,0.001,BTCUSDT
2025-09-30 00:02:03.471,114210.8,0.001,BTCUSDT
2025-09-30 00:02:03.471,114210.7,0.002,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.001,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.001,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.016,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.008,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.002,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.002,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.011,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.003,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.004,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.003,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.003,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.003,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.035,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.004,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.004,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.003,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.003,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.003,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.002,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.003,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.004,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.003,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.005,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.001,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.001,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.002,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.002,BTCUSDT
2025-09-30 00:02:03.528,114210.6,0.001,BTCUSDT
2025-09-30 00:02:03.528,114210.5,0.002,BTCUSDT
2025-09-30 00:02:03.528,114210.5,0.001,BTCUSDT
2025-09-30 00:02:03.549,114210.4,0.444,BTCUSDT
2025-09-30 00:02:03.549,114210.4,0.006,BTCUSDT
2025-09-30 00:02:03.549,114210.4,0.001,BTCUSDT
2025-09-30 00:02:03.549,114210.4,0.001,BTCUSDT
2025-09-30 00:02:03.549,114210.4,0.001,BTCUSDT
2025-09-30 00:02:03.549,114210.4,0.002,BTCUSDT
2025-09-30 00:02:03.556,114210.3,0.002,BTCUSDT
2025-09-30 00:02:03.556,114210.3,0.001,BTCUSDT
2025-09-30 00:02:03.618,114210.2,0.165,BTCUSDT
2025-09-30 00:02:03.618,114210.2,0.002,BTCUSDT
2025-09-30 00:02:03.618,114210.2,0.002,BTCUSDT
2025-09-30 00:02:03.618,114210.2,0.002,BTCUSDT
2025-09-30 00:02:03.618,114210.2,0.008,BTCUSDT
2025-09-30 00:02:03.692,114210.1,0.345,BTCUSDT
2025-09-30 00:02:03.692,114210.1,0.345,BTCUSDT
2025-09-30 00:02:03.693,114210.1,0.15,BTCUSDT
2025-09-30 00:02:03.693,114210.1,0.15,BTCUSDT
2025-09-30 00:02:03.694,114210.1,0.172,BTCUSDT
2025-09-30 00:02:03.694,114210.1,0.059,BTCUSDT
2025-09-30 00:02:03.694,114210.1,0.002,BTCUSDT
2025-09-30 00:02:03.694,114210.1,0.001,BTCUSDT
2025-09-30 00:02:03.694,114210.1,0.001,BTCUSDT
2025-09-30 00:02:03.694,114210.1,0.001,BTCUSDT
2025-09-30 00:02:03.694,114210.1,0.006,BTCUSDT
2025-09-30 00:02:03.694,114210.1,0.004,BTCUSDT
2025-09-30 00:02:03.694,114210.1,0.008,BTCUSDT
2025-09-30 00:02:03.694,114210.1,0.087,BTCUSDT
2025-09-30 00:02:03.694,114210.1,0.002,BTCUSDT
2025-09-30 00:02:03.695,114210.0,0.001,BTCUSDT
2025-09-30 00:02:03.695,114210.0,0.001,BTCUSDT
2025-09-30 00:02:03.695,114210.0,0.001,BTCUSDT
2025-09-30 00:02:03.695,114210.0,0.001,BTCUSDT
2025-09-30 00:02:03.695,114210.0,0.001,BTCUSDT
2025-09-30 00:02:03.695,114209.9,0.002,BTCUSDT
2025-09-30 00:02:03.695,114209.8,0.002,BTCUSDT
2025-09-30 00:02:03.695,114209.8,0.002,BTCUSDT
2025-09-30 00:02:03.699,114209.7,0.147,BTCUSDT
2025-09-30 00:02:03.699,114209.7,0.001,BTCUSDT
2025-09-30 00:02:03.699,114209.7,0.002,BTCUSDT
2025-09-30 00:02:03.699,114209.7,0.001,BTCUSDT
2025-09-30 00:02:03.699,114209.7,0.001,BTCUSDT
2025-09-30 00:02:03.699,114209.7,0.001,BTCUSDT
2025-09-30 00:02:03.699,114209.5,0.001,BTCUSDT
2025-09-30 00:02:03.699,114209.5,0.001,BTCUSDT
2025-09-30 00:02:03.700,114209.6,0.001,BTCUSDT
2025-09-30 00:02:03.700,114209.5,0.001,BTCUSDT
2025-09-30 00:02:03.700,114209.0,0.002,BTCUSDT
2025-09-30 00:02:03.700,114209.0,0.087,BTCUSDT
2025-09-30 00:02:03.700,114208.5,0.001,BTCUSDT
2025-09-30 00:02:03.700,114208.4,0.002,BTCUSDT
2025-09-30 00:02:03.707,114208.3,0.001,BTCUSDT
2025-09-30 00:02:03.707,114208.3,0.001,BTCUSDT
2025-09-30 00:02:03.707,114208.3,0.001,BTCUSDT
2025-09-30 00:02:03.707,114208.3,0.001,BTCUSDT
2025-09-30 00:02:03.707,114208.3,0.002,BTCUSDT
2025-09-30 00:02:03.707,114207.8,0.002,BTCUSDT
2025-09-30 00:02:03.707,114207.5,0.002,BTCUSDT
2025-09-30 00:02:03.707,114207.2,0.002,BTCUSDT
2025-09-30 00:02:03.707,114207.2,0.001,BTCUSDT
2025-09-30 00:02:03.707,114207.1,0.002,BTCUSDT
2025-09-30 00:02:03.707,114206.6,0.002,BTCUSDT
2025-09-30 00:02:03.707,114206.4,0.001,BTCUSDT
2025-09-30 00:02:03.707,114206.3,0.006,BTCUSDT
2025-09-30 00:02:03.707,114206.3,0.024,BTCUSDT
2025-09-30 00:02:03.713,114206.3,0.004,BTCUSDT
2025-09-30 00:02:03.713,114206.3,0.001,BTCUSDT
2025-09-30 00:02:03.713,114206.3,0.001,BTCUSDT
2025-09-30 00:02:03.715,114206.3,0.004,BTCUSDT
2025-09-30 00:02:03.715,114206.3,0.001,BTCUSDT
2025-09-30 00:02:03.715,114206.2,0.001,BTCUSDT
2025-09-30 00:02:03.715,114206.2,0.001,BTCUSDT
2025-09-30 00:02:03.731,114206.2,0.009,BTCUSDT
2025-09-30 00:02:03.893,114206.2,0.005,BTCUSDT
2025-09-30 00:02:04.244,114206.2,0.023,BTCUSDT
2025-09-30 00:02:04.631,114206.2,0.023,BTCUSDT
2025-09-30 00:02:04.899,114206.2,0.065,BTCUSDT
2025-09-30 00:02:05.135,114206.2,0.044,BTCUSDT
2025-09-30 00:02:05.164,114206.1,0.2,BTCUSDT
2025-09-30 00:02:05.620,114206.2,0.009,BTCUSDT
2025-09-30 00:02:05.910,114206.1,0.001,BTCUSDT
2025-09-30 00:02:06.027,114206.2,0.02,BTCUSDT
2025-09-30 00:02:06.094,114206.2,0.004,BTCUSDT
